evaluation_type,datatype,strategy,sample_size,avg_f1,avg_precision,avg_recall,count
all_pairs,walmart,inconsistency,300,0.0083,0.0043,0.1667,1
all_pairs,walmart,inconsistency,400,0.0016,0.0008,0.75,1
all_pairs,walmart,random,0,0.8387,1.0,0.7222,4
all_pairs,walmart,random,100,0.9412,1.0,0.8889,1
all_pairs,walmart,random,200,0.96,0.9231,1.0,2
all_pairs,walmart,random,300,0.8,1.0,0.6667,1
all_pairs,walmart,random,400,0.8955,0.9677,0.8333,1
all_pairs,walmart,uncertainty,0,0.8387,1.0,0.7222,4
all_pairs,walmart,uncertainty,100,0.9722,0.9722,0.9722,2
all_pairs,walmart,uncertainty,200,0.9565,1.0,0.9167,1
all_pairs,walmart,uncertainty,300,0.9412,1.0,0.8889,1
all_pairs,walmart,uncertainty,400,0.9412,1.0,0.8889,1
all_pairs,wdc,diversity,0,0.6667,0.7563,0.596,3
all_pairs,wdc,diversity,100,0.7576,0.6873,0.844,1
all_pairs,wdc,diversity,200,0.6508,0.5,0.932,1
all_pairs,wdc,diversity,300,0.6479,0.5,0.92,1
all_pairs,wdc,inconsistency,0,0.6667,0.7563,0.596,3
all_pairs,wdc,inconsistency,100,0.6484,0.5068,0.9,1
all_pairs,wdc,inconsistency,200,0.6826,0.8462,0.572,1
all_pairs,wdc,inconsistency,300,0.7661,0.7724,0.76,1
all_pairs,wdc,random,0,0.6667,0.7563,0.596,3
all_pairs,wdc,random,100,0.7203,0.6633,0.788,1
all_pairs,wdc,random,200,0.728,0.6855,0.776,1
all_pairs,wdc,random,300,0.702,0.5989,0.848,1
all_pairs,wdc,uncertainty,0,0.6667,0.7563,0.596,3
all_pairs,wdc,uncertainty,100,0.658,0.5159,0.908,2
all_pairs,wdc,uncertainty,200,0.6565,0.5021,0.948,2
all_pairs,wdc,uncertainty,300,0.7681,0.702,0.848,2
